,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
86,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-099,1997,3,1,71,0.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-273,1996,5,5,404,4.5,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
88,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-104,1989,8,8,720,8.0,1,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
89,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-278,1991,9,9,791,8.8,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.3,0.01,0.03,0.04,0.01,0.04,Matches
90,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-318,1993,16,16,1440,16.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
91,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-089,1988,9,7,570,6.3,0,1,0,0,0,0,0.00,0.16,0.16,0.00,0.16,0.2,0.2,0.6,0.02,0.09,0.12,0.02,0.12,Matches
92,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20-346,2000,11,7,581,6.5,2,1,0,0,0,0,0.31,0.15,0.46,0.31,0.46,2.1,2.1,0.2,0.33,0.02,0.35,0.33,0.35,Matches
93,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-131,1991,11,11,971,10.8,1,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.0,0.04,0.00,0.04,0.04,0.04,Matches
94,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,26-362,1994,11,8,679,7.5,2,2,0,0,0,0,0.27,0.27,0.53,0.27,0.53,1.0,1.0,0.8,0.13,0.11,0.24,0.13,0.24,Matches
95,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-139,1992,13,13,1164,12.9,0,2,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,1.6,0.02,0.13,0.15,0.02,0.15,Matches
96,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-024,1989,17,17,1530,17.0,0,4,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.5,0.5,2.3,0.03,0.13,0.16,0.03,0.16,Matches
97,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-264,1991,17,17,1520,16.9,3,1,0,0,3,0,0.18,0.06,0.24,0.18,0.24,1.9,1.9,0.7,0.11,0.04,0.16,0.11,0.16,Matches
98,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-329,1987,8,8,720,8.0,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
99,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-092,1990,16,16,1440,16.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
100,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-259,1993,12,7,682,7.6,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.5,0.02,0.07,0.09,0.02,0.09,Matches
101,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-192,1998,9,5,427,4.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.10,0.11,0.00,0.11,Matches
102,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-330,1998,4,0,51,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.50,0.05,0.55,0.50,0.55,Matches
103,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,20-362,2000,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
