,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
62,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-154,2000,1,0,37,1,0,0,0,0,0,2.43,0.00,2.43,2.43,2.43,0.1,0.1,0.0,0.14,0.00,0.14,0.14,0.14,Matches
63,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29-329,1991,12,12,1080,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
64,Jarrod Bowen\Jarrod-Bowen,eng ENG,MFFW,West Ham,24-008,1996,15,15,1200,4,2,0,0,0,0,0.30,0.15,0.45,0.30,0.45,3.3,3.3,1.3,0.25,0.10,0.35,0.25,0.35,Matches
65,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,28-349,1992,9,6,518,1,0,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.4,0.05,0.07,0.13,0.05,0.13,Matches
66,Rhian Brewster\Rhian-Brewster,eng ENG,FWMF,Sheffield Utd,20-271,2000,11,5,481,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.1,0.18,0.21,0.39,0.18,0.39,Matches
67,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-009,1995,13,13,1170,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,0.05,0.04,0.09,0.05,0.09,Matches
68,Joe Bryan\Joe-Bryan,eng ENG,MFDF,Fulham,27-102,1993,8,4,342,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches
69,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-057,1996,2,2,152,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
70,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-265,1997,9,7,584,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,1.2,1.2,1.6,0.18,0.24,0.42,0.18,0.42,Matches
71,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-233,1992,8,6,575,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
72,Oskar Buur\Oskar-Buur,dk DEN,DFMF,Wolves,22-272,1998,1,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
73,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-091,1981,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-009,1985,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.02,0.07,0.09,0.02,0.09,Matches
75,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,29-343,1991,10,9,759,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,Matches
76,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-287,1997,15,15,1326,11,0,0,0,3,0,0.75,0.00,0.75,0.75,0.75,8.3,8.3,0.6,0.56,0.04,0.60,0.56,0.60,Matches
77,João Cancelo\Joao-Cancelo,pt POR,DFMF,Manchester City,26-215,1994,10,10,900,0,1,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.9,0.02,0.19,0.21,0.02,0.21,Matches
78,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,FW,Leeds United,20-323,2000,8,0,207,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.16,0.16,0.32,0.16,0.32,Matches
