id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
168,1,1,63,,,0,232826,0,0,0,0,98.4,231,130,0,3,0.5,,0,Anthony,0.0,6,0,21.8,318,138,False,76.0,327,139,436,,,45,0,0,0,232826.jpg,1.5,0,0,Gordon,1.4,False,,a,7,11,44.0,289,141,17,0,0,0,0,0.0,3.8,Gordon,0,Everton,11.333333333333336,20.675398943209995,0.3,1.5,3.264189176284357,0.4,1.2000000000000002,1.8242999067538237,1.8458436727821816,1.9289978072166214,1.8534001146019934
169,2,5,138,,,1,242058,0,0,0,0,136.5,207,30,0,4,1.3,,0,Moise,0.0,15,2,71.1,195,31,False,153.6,289,34,830,,,60,0,0,0,242058.jpg,1.8,0,0,Kean,0.5,False,,a,7,11,429.0,76,31,53,0,0,0,0,0.0,8.8,Kean,1,Everton,29.44444444444445,60.22241953385127,4.2,16.8,0.0,1.0,3.0,2.0452897200175904,2.05349732041205,2.0055857691392536,2.0494805355380676
170,0,2,69,,,1,480455,0,0,0,0,2.2,347,130,0,2,0.5,,0,Jarrad,0.0,6,0,6.9,352,126,False,66.0,332,122,299,,,40,0,0,0,480455.jpg,2.8,0,0,Branthwaite,5.3,False,,a,7,11,0.0,359,141,11,0,0,0,0,0.0,2.8,Branthwaite,0,Everton,3.928571428571429,11.525976588965705,0.0,0.0,4.525976588965705,0.0,0.0,2.9338849499185438,3.0084289225638905,3.4089415088967896,3.044346925092364
502,0,0,0,,,0,119765,0,0,0,0,0.0,486,197,0,3,1.3,,0,Allan,0.0,0,0,0.0,486,197,False,0.0,486,197,0,,,55,0,0,0,119765.jpg,0.0,0,0,Marques Loureiro,0.2,False,,a,7,11,0.0,484,197,0,0,0,0,0,0.0,0.0,Allan,0,Everton,,,,,,,,,,,
171,0,0,0,,,0,40559,0,0,0,0,0.0,362,12,0,1,0.0,,0,Fabricio,0.0,0,0,0.0,382,31,False,0.0,382,31,0,,,40,0,0,0,40559.jpg,0.0,0,0,Agosto Ramírez,2.3,False,,a,8,54,0.0,341,5,0,0,0,0,0,0.0,0.0,Fabri,0,Fulham,,,,,,,,,,,
172,0,0,0,,,0,55038,0,0,0,0,0.0,444,176,0,3,0.4,,0,Kevin,0.0,0,0,0.0,450,176,False,0.0,450,176,0,,,50,0,0,0,55038.jpg,0.0,0,0,McDonald,0.1,False,,a,8,54,0.0,437,175,0,0,0,0,0,0.0,0.0,McDonald,0,Fulham,,,,,,,,,,,
173,0,0,0,,,0,61739,0,0,0,0,0.0,392,150,0,2,0.6,,0,Maxime,0.0,0,0,0.0,405,150,False,0.0,405,150,0,,,45,0,0,0,61739.jpg,0.0,0,0,Le Marchand,0.3,False,,a,8,54,0.0,376,145,0,0,0,0,0,0.0,0.0,Le Marchand,0,Fulham,,,,,,,,,,,
174,0,0,0,,,0,61916,0,0,0,0,0.0,448,178,0,3,0.4,,0,Stefan,0.0,0,0,0.0,454,178,False,0.0,454,178,0,,,50,0,0,0,61916.jpg,0.0,0,0,Johansen,0.1,False,,a,8,54,0.0,441,177,0,0,0,0,0,0.0,0.0,Johansen,0,Fulham,,,,,,,,,,,
175,0,0,0,,,0,76357,0,0,0,0,0.0,481,195,0,3,0.8,,0,Tom,0.0,0,0,0.0,481,195,False,0.0,481,195,0,,,55,0,0,0,76357.jpg,0.0,0,0,Cairney,0.4,False,,a,8,54,0.0,479,195,0,0,0,0,0,0.0,0.0,Cairney,0,Fulham,,,,,,,,,,,
176,0,0,0,,,0,82514,0,0,0,0,0.0,398,153,0,2,0.6,,0,Tim,0.0,0,0,0.0,410,153,False,0.0,410,153,0,,,45,0,0,0,82514.jpg,0.0,0,0,Ream,0.2,False,,a,8,54,0.0,382,148,0,0,0,0,0,0.0,0.0,Ream,0,Fulham,,,,,,,,,,,
