id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 4,value,valuePoints metric
94,0,0,245,100.0,100.0,3,21205,0,0,0,0,0.3,0,1,1.5,1.5,3,Tom,2.5,22,0,36.5,False,366.0,1260,,2019-11-10T16:00:17.137818Z,45,1,0,0,21205.jpg,2.9,0,49,Heaton,5.3,False,,a,2,7,0.0,41,237148,4229,286963,6143,0.6,9.1,Heaton,0,14.13793103448276,37.92172241822763,2.6822681710453686,2.438985220406027,0.5960595935656374,1.264433341804679
309,2,9,201,100.0,100.0,2,169359,0,0,-1,1,171.1,1,2,2.8,2.8,0,Matt,3.8,12,1,43.8,False,240.4,736,,2019-11-11T12:00:14.805770Z,44,0,0,0,169359.jpg,4.6,0,0,Targett,1.0,False,,a,2,7,26.0,41,63313,9743,75411,2633,0.9,9.3,Targett,1,8.913043478260871,33.898164133230466,3.803208658850248,3.3091120428455225,0.8643656042841472,1.813108587654307
428,1,7,141,100.0,100.0,4,213345,-1,1,-2,2,108.3,1,4,0.8,0.8,2,Wesley,1.8,20,4,80.1,False,232.8,1284,,2019-10-19T19:00:18.658995Z,58,0,1,0,213345.jpg,3.5,0,0,Moraes,1.9,False,,a,2,7,473.0,53,375646,2771,333785,14418,0.3,9.1,Wesley,1,15.142857142857142,54.8368,3.6212981132075472,2.472097128961073,0.6243617436564737,1.5036621975238196
429,0,0,3,0.0,0.0,0,79852,0,0,-1,1,0.0,0,1,0.0,0.0,0,Jed,0.2,0,0,0.0,False,0.0,7,Achilles injury - Unknown return date,2019-11-10T16:00:17.790777Z,44,0,0,0,79852.jpg,1.0,0,0,Steer,0.1,False,,i,2,7,0.0,1,985,6,5340,127,0.0,0.2,Steer,0,1.0,1.6310486588502469,1.6310486588502469,,0.37069287701141973,0.7775719387264536
445,1,3,274,,,3,149484,0,0,0,0,60.4,0,2,2.5,2.5,1,Tyrone,3.5,24,1,52.2,False,408.6,1350,,,45,0,0,0,149484.jpg,2.9,0,0,Mings,5.1,False,,a,2,7,52.0,43,456535,13033,262163,7286,0.8,9.6,Mings,2,14.827586206896553,37.99372838984849,2.5623677286176885,2.8558213316339534,0.5694150508039307,1.2079117311994256
452,0,0,64,100.0,100.0,1,199798,0,0,-2,2,12.1,0,2,1.2,1.2,1,Ezri,2.2,7,0,13.2,False,102.2,375,,2019-08-05T15:00:10.970602Z,43,0,0,0,199798.jpg,2.0,0,0,Konsa Ngoyo,0.1,False,,a,2,7,17.0,10,1625,246,3464,101,0.5,2.3,Konsa,0,5.0,9.755243294251231,1.9510486588502467,1.8836945661232352,0.45373224624424346,0.9408792114357406
455,0,4,172,100.0,100.0,3,108156,0,0,0,0,5.2,1,2,-1.0,-1.0,0,Bjorn,0.0,17,0,23.2,False,205.6,974,,2019-11-26T01:30:25.806514Z,45,0,0,0,108156.jpg,2.8,0,0,Engels,0.7,False,,a,2,7,19.0,31,91173,106,66032,2661,0.0,6.9,Engels,1,11.071428571428573,27.78661015155631,2.509758336269601,,0.557724074726578,1.1831114258104682
458,2,2,191,100.0,0.0,4,203368,0,0,-1,1,128.2,1,2,1.0,0.0,0,Fr̩d̩ric,2.0,15,0,40.4,False,243.2,1052,,2019-12-01T19:30:19.368861Z,44,0,0,0,203368.jpg,3.2,0,0,Guilbert,0.8,False,,a,2,7,33.0,38,77364,830,60246,2757,0.5,8.6,Guilbert,5,11.875,29.567302823846685,2.4898781325344577,2.7818801179145125,0.5658813937578312,1.187002825576142
465,1,2,108,100.0,100.0,1,148508,0,0,-3,3,122.4,0,3,3.5,3.5,8,Mahmoud Ahmed,4.5,17,3,76.2,False,230.4,839,,2019-08-31T16:30:09.941826Z,52,0,0,0,148508.jpg,2.8,1,0,Ibrahim Hassan,1.6,False,,a,2,7,410.0,37,116084,12257,213308,2789,0.9,7.1,Tr̩z̩guet,2,13.214285714285715,33.42151431941599,2.5291956782260754,4.328285054789446,0.4863837842742452,1.10912567599243
470,0,2,151,,,4,230046,0,0,0,0,63.4,0,3,1.0,1.0,1,Douglas Luiz,2.0,12,2,40.1,False,173.6,757,,,45,0,0,0,230046.jpg,2.8,0,0,Soares de Paulo,3.8,False,,a,2,7,163.0,36,534054,4895,351486,14387,0.4,8.0,Douglas Luiz,1,12.857142857142858,29.52837068916151,2.2966510536014506,2.501448540300501,0.5103669008003223,1.0826516893472098
