id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,prior,value,valuePoints_metric,games_played
35,0,0,0,,,0,40564,0,0,0,0,0.0,0,3,,,0,Henri,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,40564.jpg,0.0,0,0,Lansbury,0.2,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Lansbury,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
36,0,0,0,,,0,89274,0,0,0,0,0.0,0,3,,,0,José Ignacio,0.0,0,0,0.0,False,0.0,0,,,60,0,0,0,89274.jpg,0.0,0,0,Peleteiro Romallo,0.3,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Jota,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.3333333333333333,0.816496580927726,0.0
94,0,4,323,,,4,21205,0,0,0,0,20.1,0,1,,,0,Tom,0.0,27,0,46.6,False,442.8,1710,,,45,0,0,0,21205.jpg,3.1,0,63,Heaton,6.8,False,,a,2,7,4.0,58,0,0,0,0,0.0,0.0,Heaton,3,3.1,"[  6.38532870e-04   6.43492682e-04   6.48474807e-04 ...,   1.13700288e-07
   1.11205343e-07   1.08762427e-07]",0.6888888888888889,1.4613540144521981,19.0
309,3,3,229,,,0,169359,0,0,0,0,366.8,0,2,,,0,Matt,0.0,25,1,86.2,False,314.2,1185,,,45,0,0,0,169359.jpg,2.3,0,0,Targett,1.5,False,,a,2,7,181.0,36,0,0,0,0,0.0,0.0,Targett,2,2.3,"[  1.17618482e-03   1.18295258e-03   1.18972954e-03 ...,   1.91140575e-08
   1.86572826e-08   1.82109682e-08]",0.5111111111111111,1.0842303978193728,13.166666666666666
428,0,0,0,,,0,213345,0,0,0,0,0.0,0,4,,,0,Wesley,0.0,0,0,0.0,False,0.0,0,,,60,0,0,0,213345.jpg,0.0,0,0,Moraes,1.2,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Wesley,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.3333333333333333,0.816496580927726,0.0
429,0,0,0,100.0,,0,79852,0,0,0,0,0.0,0,1,,,0,Jed,0.0,0,0,0.0,False,0.0,0,,2019-08-05T15:00:10.959066Z,45,0,0,0,79852.jpg,0.0,0,0,Steer,0.2,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Steer,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
445,0,0,41,,,0,149484,0,0,0,0,16.3,0,2,,,0,Tyrone,0.0,4,0,6.8,False,49.0,141,,,45,0,0,0,149484.jpg,1.0,0,0,Mings,1.8,False,,a,2,7,2.0,5,0,0,0,0,0.0,0.0,Mings,0,2.0,"[  2.54256715e-03   2.54889966e-03   2.55518406e-03 ...,   8.44569979e-10
   8.21712106e-10   7.99452883e-10]",0.4444444444444444,0.9428090415820634,1.5666666666666667
452,0,0,0,100.0,,0,199798,0,0,0,0,0.0,0,2,,,0,Ezri,0.0,0,0,0.0,False,0.0,0,,2019-08-05T15:00:10.970602Z,45,0,0,0,199798.jpg,0.0,0,0,Konsa Ngoyo,0.1,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Konsa,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
455,0,0,0,,,0,108156,0,0,0,0,0.0,0,2,,,0,Bjorn,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,108156.jpg,0.0,0,0,Engels,0.1,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Engels,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
458,0,0,0,,,0,203368,0,0,0,0,0.0,0,2,,,0,Frédéric,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,203368.jpg,0.0,0,0,Guilbert,0.5,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Guilbert,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
465,0,0,0,,,0,148508,0,0,0,0,0.0,0,3,,,0,Mahmoud Ahmed,0.0,0,0,0.0,False,0.0,0,,,55,0,0,0,148508.jpg,0.0,0,0,Ibrahim Hassan,3.0,False,,a,2,7,0.0,0,0,0,0,0,0.0,0.0,Trézéguet,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.36363636363636365,0.8528028654224418,0.0
