id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
165,0,0,35,100.0,100.0,0,15033,0,0,-4,4,0.7,0,2,1.2,1.2,0,Wes,0.2,1,0,8.2,False,45.8,160,,2020-01-27T15:00:16.943418Z,41,0,0,0,15033.jpg,1.1,0,0,Morgan,0.6,False,,a,9,13,36.0,9,31180,152,90695,185,0.0,2.2,Morgan,0,8.181818181818182,18.443735539323,2.2542343436950327,2.274187878432419,2.3452180903320823,0.5498132545597642,1.1132869895257735,Leicester City
166,6,25,565,75.0,100.0,8,101668,1,-1,8,-8,228.6,6,4,1.9,2.5,0,Jamie,1.5,25,17,189.5,True,751.6,2191,Calf injury - 75% chance of playing,2020-02-28T22:00:17.465342Z,98,0,1,0,101668.jpg,6.2,0,0,Vardy,33.5,False,,d,9,13,922.0,156,4487227,3782,2956578,273330,0.2,15.9,Vardy,2,25.161290322580644,136.03218045112783,5.4064071717755935,3.014096533559232,3.0732324033094125,0.5516742012015912,1.7270134214475157,Leicester City
167,4,5,144,100.0,100.0,1,173515,0,0,-3,3,139.5,1,4,2.0,2.0,2,Kelechi,1.0,7,3,65.2,False,184.6,521,,2020-02-22T21:30:18.745261Z,57,0,0,0,173515.jpg,3.9,0,0,Iheanacho,0.4,False,,a,9,13,329.0,43,58394,2045,60249,1618,0.2,7.5,Iheanacho,1,11.025641025641027,37.66812030075188,3.4164109109984264,2.189216760281593,2.3138937145202605,0.5993703352628819,1.4309770624020828,Leicester City
168,0,6,526,,,9,17745,0,0,3,-3,10.0,1,1,6.5,6.5,2,Kasper,5.5,28,0,69.7,False,686.4,2520,,,53,0,0,1,17745.jpg,4.0,0,80,Schmeichel,14.3,False,,a,9,13,0.0,113,1240539,7939,737218,9066,1.0,21.3,Schmeichel,2,28.25,110.20712020938468,3.901136998562288,5.894751551703156,4.80327228746811,0.736063584634394,1.69454562739149,Leicester City
169,0,0,0,,,0,11974,0,0,-3,3,0.0,0,1,1.0,1.0,0,Eldin,0.0,0,0,0.0,False,0.0,0,,,42,0,0,0,11974.jpg,0.0,0,0,Jakupovic,0.1,False,,a,9,13,0.0,0,1509,10,5499,21,0.0,0.0,Jakupovic,0,,,,,,,,Leicester City
170,0,0,0,,,0,95463,0,0,-3,3,0.0,0,1,1.0,1.0,0,Danny,0.0,0,0,0.0,False,0.0,0,,,42,0,0,0,95463.jpg,0.0,0,0,Ward,0.2,False,,a,9,13,0.0,0,2348,13,9196,18,0.0,0.0,Ward,0,,,,,,,,Leicester City
171,5,14,486,100.0,100.0,8,172780,1,-1,5,-5,1113.3,1,3,2.8,2.8,2,James,1.8,25,6,232.9,False,603.8,2309,,2020-01-09T13:00:16.666798Z,75,0,0,0,172780.jpg,4.3,0,0,Maddison,20.7,False,,a,9,13,611.0,116,3047615,16381,2315649,49321,0.2,15.5,Maddison,4,26.976744186046513,115.24452153109242,4.271995194687047,2.777536320718624,3.1070553331679034,0.5695993592916063,1.5599120891225131,Leicester City
172,7,5,278,100.0,100.0,6,201666,1,-1,1,-1,418.9,1,3,4.2,4.2,2,Harvey,3.2,16,4,147.5,False,376.6,1615,,2019-12-21T19:30:16.602039Z,61,0,0,0,201666.jpg,3.6,0,0,Barnes,3.5,False,,a,9,13,679.0,93,422845,6557,191344,13594,0.5,15.2,Barnes,0,25.83333333333333,96.69864066267954,3.7431731869424336,3.5620311139409417,4.0398469289186565,0.6136349486790875,1.5155665232731808,Leicester City
173,0,0,0,0.0,0.0,0,115858,0,0,-3,3,0.0,0,3,0.0,0.0,0,Rachid,0.0,0,0,0.0,False,0.0,0,Joined Fiorentina on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-18T22:00:13.300063Z,52,0,0,0,115858.jpg,0.0,0,0,Ghezzal,0.0,False,,n,9,13,0.0,0,603,3,3897,4,0.0,0.0,Ghezzal,0,,,,,,,,Leicester City
174,1,0,87,,,0,51938,0,0,-4,4,135.1,0,3,1.5,1.5,1,Marc,0.5,7,0,27.5,False,80.2,386,,,51,0,0,0,51938.jpg,1.3,0,0,Albrighton,0.2,False,,a,9,13,60.0,17,9055,41,21618,45,0.1,3.3,Albrighton,1,13.076923076923075,22.165488506498647,1.695007944614603,1.3640468809245172,1.4262824994789116,0.3323544989440398,0.7505621334297068,Leicester City
175,2,0,80,100.0,100.0,0,172632,0,0,-4,4,114.3,0,3,1.0,1.0,0,Demarai,0.0,4,1,37.8,False,109.2,409,,2019-12-01T23:30:20.997051Z,51,0,1,0,172632.jpg,1.7,0,0,Gray,0.2,False,,a,9,13,156.0,24,11479,37,37262,95,0.0,4.7,Gray,1,14.117647058823529,29.577828422240767,2.0950961799087198,,3.0330497031607893,0.41080317253112153,0.9277241817826759,Leicester City
176,1,5,338,100.0,50.0,8,203341,0,0,0,0,189.6,0,3,1.2,0.6,1,Wilfred,0.2,19,2,82.2,False,478.6,1809,,2020-02-01T14:30:20.874570Z,50,0,0,0,203341.jpg,2.9,0,0,Ndidi,1.7,False,,a,9,13,153.0,64,383767,684,405984,495,0.0,12.8,Ndidi,3,22.068965517241374,58.76021955764332,2.6625724487057125,2.282559789993852,2.4014897649403477,0.5325144897411425,1.1907385980648089,Leicester City
177,0,0,3,100.0,100.0,0,61604,0,0,-2,2,0.1,0,3,1.2,1.2,0,Matty,0.2,0,0,0.1,False,0.4,5,,2019-08-27T12:30:14.308742Z,43,0,0,0,61604.jpg,1.0,0,0,James,0.1,False,,a,9,13,0.0,1,12461,172,25306,101,0.0,0.2,James,0,1.0,1.288558585923758,1.288558585923758,,,0.2996647874241298,0.6213981290077886,Leicester City
178,0,0,0,0.0,0.0,0,155569,0,0,-2,2,0.0,0,3,0.0,0.0,0,Daniel,0.0,0,0,0.0,False,0.0,0,Ankle injury - Unknown return date,2020-01-10T15:00:19.392765Z,43,0,0,0,155569.jpg,0.0,0,0,Amartey,0.2,False,,i,9,13,0.0,0,27509,14,36856,128,0.0,0.0,Amartey,0,,,,,,,,Leicester City
179,0,0,49,100.0,0.0,0,86881,0,0,-2,2,34.2,0,3,0.0,0.0,0,Nampalys,0.0,3,0,8.0,False,36.4,193,,2020-01-22T21:30:23.983564Z,43,0,0,0,86881.jpg,1.5,0,0,Mendy,0.8,False,,a,9,13,9.0,6,94857,118,113874,555,0.0,1.4,Mendy,0,4.0,7.454234343695033,1.8635585859237584,1.2883339665208986,1.8629012004352017,0.43338571765668804,0.8986877517557758,Leicester City
180,1,0,139,100.0,100.0,3,197469,0,0,-2,2,66.8,0,3,2.2,2.2,3,Hamza,1.2,10,1,32.5,False,175.0,777,,2020-02-14T22:30:11.974179Z,43,0,0,0,197469.jpg,1.9,1,0,Choudhury,0.8,False,,a,9,13,83.0,30,139564,1146,135012,680,0.3,7.0,Choudhury,2,15.789473684210527,27.048218273984148,1.7130538240189959,1.9135863996130584,1.7628736730423973,0.3983846102369758,0.8261079106247371,Leicester City
