id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,value,valuePoints_metric,games_played
455,0,0,12,,,0,108156,0,0,0,0,0.0,0,2,1.1,0.6,1,Bjorn,1.0,3,0,2.8,False,27.8,90,,,45,0,0,0,108156.jpg,1.0,0,0,Engels,0.1,False,,a,2,7,0.0,1,545,545,476,476,0.2,0.2,Engels,0,0.8300000000000001,0.18444444444444447,0.39126575225655635,1.0
458,0,0,0,,,0,203368,0,0,0,0,0.0,0,2,1.1,0.6,0,Frédéric,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,203368.jpg,0.0,0,0,Guilbert,0.5,False,,a,2,7,0.0,0,223,223,2879,2879,0.0,0.0,Guilbert,0,0.0,0.0,0.0,0.0
465,0,0,4,,,0,148508,0,0,0,0,14.4,0,3,1.3,0.8,1,Mahmoud Ahmed,1.0,0,0,6.6,False,16.4,58,,,55,0,0,0,148508.jpg,1.0,0,0,Ibrahim Hassan,3.0,False,,a,2,7,35.0,1,18647,18647,15451,15451,0.2,0.2,Trézéguet,0,0.8300000000000001,0.1509090909090909,0.35391318915031333,0.6444444444444445
470,0,0,3,,,0,230046,0,0,0,0,10.0,0,3,0.5,0.0,1,Douglas Luiz,1.0,2,0,2.2,False,11.6,8,,,45,0,0,0,230046.jpg,1.0,0,0,Soares de Paulo,0.7,False,,a,2,7,0.0,1,3712,3712,3026,3026,0.2,0.2,Douglas Luiz,0,0.8300000000000001,0.18444444444444447,0.39126575225655635,0.08888888888888889
474,0,0,0,,,0,88175,0,0,0,0,0.0,0,1,1.2,0.7,0,Lovre,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,,a,2,7,0.0,0,97,97,584,584,0.0,0.0,Kalinic,0,0.0,0.0,0.0,0.0
491,0,0,0,,,0,184704,0,0,0,0,0.0,0,3,0.5,0.0,0,Marvelous,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,184704.jpg,0.0,0,0,Nakamba,0.2,False,,a,2,7,0.0,0,922,922,1249,1249,0.0,0.0,Nakamba,0,0.0,0.0,0.0,0.0
58,0,0,12,100.0,100.0,0,56917,0,0,0,0,0.1,0,2,2.6,2.6,2,Steve,2.0,1,0,1.8,False,14.2,90,,2019-07-30T11:30:12.364426Z,50,0,0,0,56917.jpg,2.0,0,0,Cook,0.2,False,,a,3,91,4.0,2,722,722,1081,1081,0.4,0.4,Steve Cook,0,2.25,0.45,1.0062305898749053,1.0
59,0,0,19,,,0,126184,0,0,0,0,21.7,0,2,2.6,2.6,2,Nathan,2.0,1,0,6.0,False,16.4,90,,,50,0,0,0,126184.jpg,2.0,0,0,Aké,17.7,False,,a,3,91,22.0,2,19323,19323,75071,75071,0.4,0.4,Aké,0,2.46,0.492,1.1001454449298966,1.0
60,0,0,0,100.0,100.0,0,41320,0,0,0,0,0.0,0,2,2.1,2.1,0,Charlie,0.0,0,0,0.0,False,0.0,0,,2019-08-04T16:00:15.935873Z,45,0,0,0,41320.jpg,0.0,0,0,Daniels,0.3,False,,a,3,91,0.0,0,788,788,1816,1816,0.0,0.0,Daniels,0,2.1,0.4666666666666667,0.9899494936611666,0.0
61,0,2,24,,,0,223911,0,0,0,0,1.2,1,2,2.1,2.1,10,Chris,10.0,1,1,11.7,True,47.4,90,,,45,0,0,0,223911.jpg,10.0,0,0,Mepham,1.5,False,,a,3,91,68.0,10,40056,40056,6353,6353,2.2,2.2,Mepham,0,5.45,1.2111111111111112,2.569154638311123,1.0
62,0,0,0,0.0,0.0,0,15149,0,0,0,0,0.0,0,2,0.0,0.0,0,Simon,0.0,0,0,0.0,False,0.0,0,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.976202Z,45,0,0,0,15149.jpg,0.0,0,0,Francis,0.0,False,,i,3,91,0.0,0,31,31,116,116,0.0,0.0,Francis,0,2.4,0.5333333333333333,1.131370849898476,0.0
63,0,0,10,,,0,54469,0,0,0,0,7.0,0,2,2.1,2.1,1,Adam,1.0,1,0,1.4,False,3.4,90,,,45,0,0,0,54469.jpg,1.0,0,0,Smith,1.5,False,,a,3,91,4.0,1,1699,1699,6435,6435,0.2,0.2,Adam Smith,1,1.49,0.33111111111111113,0.7023927359786373,1.0
64,0,0,0,0.0,0.0,0,235530,0,0,0,0,0.0,0,2,0.0,0.0,0,Lloyd,0.0,0,0,0.0,False,0.0,0,Ankle injury - Unknown return date,2019-08-04T16:00:15.955778Z,45,0,0,0,235530.jpg,0.0,0,0,Kelly,0.1,False,,i,3,91,0.0,0,107,107,1227,1227,0.0,0.0,Kelly,0,0.0,0.0,0.0,0.0
65,0,0,13,,,0,171129,0,0,0,0,16.6,0,2,1.5,1.5,2,Diego,2.0,1,0,4.1,False,21.0,90,,,40,0,0,0,171129.jpg,2.0,0,0,Rico,5.8,False,,a,3,91,3.0,2,45043,45043,16357,16357,0.5,0.5,Rico,0,1.62,0.405,0.81,1.0
66,0,0,0,,,0,222434,0,0,0,0,0.0,0,2,1.5,1.5,0,Jack,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,222434.jpg,0.0,0,0,Simpson,8.2,False,,a,3,91,0.0,0,11264,11264,25840,25840,0.0,0.0,Simpson,0,1.7,0.425,0.85,0.0
67,1,0,10,,,0,75115,0,0,0,0,2.3,0,4,3.1,3.1,5,Callum,5.0,1,0,4.0,False,2.4,89,,,80,0,0,0,75115.jpg,5.0,0,0,Wilson,17.6,False,,a,3,91,35.0,5,25449,25449,89692,89692,0.6,0.6,Wilson,0,5.34,0.6675,1.8879751057680818,0.9888888888888889
68,0,0,6,,,0,78007,0,0,0,0,12.4,0,4,2.6,2.6,2,Joshua,2.0,1,0,4.0,False,6.0,90,,,65,0,0,0,78007.jpg,2.0,0,0,King,19.1,False,,a,3,91,22.0,2,31709,31709,104829,104829,0.3,0.3,King,0,2.83,0.43538461538461537,1.1100173248821217,1.0
69,0,0,3,,,0,154566,0,0,0,0,0.0,0,4,2.1,2.1,1,Dominic,1.0,0,0,0.0,False,0.0,1,,,55,0,0,0,154566.jpg,1.0,0,0,Solanke,0.6,False,,a,3,91,0.0,1,2448,2448,5112,5112,0.2,0.2,Solanke,0,1.11,0.20181818181818184,0.47330559030945524,0.011111111111111112
71,0,0,0,0.0,0.0,0,217331,0,0,0,0,0.0,0,4,0.0,0.0,0,Sam,0.0,0,0,0.0,False,0.0,0,Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul,2019-08-07T20:00:14.104634Z,45,0,0,0,217331.jpg,0.0,0,0,Surridge,0.8,False,,n,3,91,0.0,0,1731,1731,12687,12687,0.0,0.0,Surridge,0,1.0,0.2222222222222222,0.4714045207910317,0.0
