,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
71,70,Nathan Collins,ie IRL,DF,Burnley,20-217,2001,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.01,0.11,0.12,0.01,0.12,Matches
72,71,Aaron Connolly,ie IRL,FW,Brighton,21-309,2000,2,0,60,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.64,0.0,0.64,0.64,0.64,Matches
73,72,Liam Cooper,sct SCO,DF,Leeds United,30-095,1991,14,14,1260,14.0,0,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.0,0.3,0.02,0.0,0.02,0.02,0.02,Matches
74,73,Jack Cork,eng ENG,MF,Burnley,32-161,1989,5,5,404,4.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches
75,74,Maxwel Cornet,ci CIV,"FW,MF",Burnley,25-067,1996,8,7,531,5.9,5,0,5,0,0,2,0,0.85,0.0,0.85,0.85,0.85,1.4,1.4,0.5,2.0,0.24,0.09,0.33,0.24,0.33,Matches
76,75,Hélder Costa,ao ANG,MF,Leeds United,27-325,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
78,76,Vladimír Coufal,cz CZE,DF,West Ham,29-103,1992,11,8,758,8.4,0,1,0,0,0,0,0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,1.5,1.7,0.03,0.17,0.2,0.03,0.2,Matches
79,77,Aaron Cresswell,eng ENG,DF,West Ham,31-353,1989,13,13,1140,12.7,1,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,0.4,0.4,1.4,1.8,0.03,0.11,0.14,0.03,0.14,Matches
80,78,Charlie Cresswell,eng ENG,DF,Leeds United,18-361,2002,3,1,92,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
81,79,Cucho,co COL,"MF,FW",Watford,22-227,1999,10,4,489,5.4,1,1,1,0,0,0,0,0.18,0.18,0.37,0.18,0.37,0.7,0.7,0.8,1.5,0.12,0.15,0.27,0.12,0.27,Matches
82,80,Marc Cucurella,es ESP,DF,Brighton,23-134,1998,11,11,929,10.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.02,0.09,0.11,0.02,0.11,Matches
83,81,Patson Daka,zm ZAM,"FW,MF",Leicester City,23-055,1998,5,0,123,1.4,1,1,1,0,0,0,0,0.73,0.73,1.46,0.73,1.46,0.9,0.9,0.9,1.8,0.66,0.63,1.29,0.66,1.29,Matches
