,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
127,124,Mbaye Diagne,sn SEN,FW,West Brom,28.0,1991.0,16,14,1189,13.2,3,2,3,0,0,2,0,0.23,0.15,0.38,0.23,0.38,5.0,5.0,1.7,6.7,0.38,0.13,0.51,0.38,0.51,Matches
128,125,Amad Diallo,ci CIV,FW,Manchester Utd,18.0,2002.0,3,2,166,1.8,0,1,0,0,0,0,0,0.0,0.54,0.54,0.0,0.54,0.0,0.0,0.5,0.5,0.02,0.26,0.29,0.02,0.29,Matches
130,126,Ibrahima Diallo,fr FRA,MF,Southampton,21.0,1999.0,22,10,1020,11.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,Matches
131,127,Grady Diangana,eng ENG,"MF,FW",West Brom,22.0,1998.0,20,15,1235,13.7,1,0,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.1,0.09,0.1,Matches
132,128,Raphael Dias Belloli,br BRA,MF,Leeds United,23.0,1996.0,30,26,2360,26.2,6,9,6,0,0,3,0,0.23,0.34,0.57,0.23,0.57,6.0,6.0,8.1,14.1,0.23,0.31,0.54,0.23,0.54,Matches
133,129,Rúben Dias,pt POR,DF,Manchester City,23.0,1997.0,32,32,2843,31.6,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0.0,0.08,0.07,0.08,Matches
134,130,Eric Dier,eng ENG,DF,Tottenham,26.0,1994.0,28,28,2520,28.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,0.03,0.0,0.03,0.03,0.03,Matches
135,131,Lucas Digne,fr FRA,DF,Everton,27.0,1993.0,30,30,2681,29.8,0,7,0,0,0,2,1,0.0,0.23,0.23,0.0,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.2,0.02,0.2,Matches
136,132,Virgil van Dijk,nl NED,DF,Liverpool,29.0,1991.0,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.0,0.08,0.08,0.08,Matches
137,133,Issa Diop,fr FRA,DF,West Ham,23.0,1997.0,18,15,1381,15.3,2,0,2,0,0,3,0,0.13,0.0,0.13,0.13,0.13,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,Matches
138,134,Moussa Djenepo,ml MLI,MF,Southampton,22.0,1998.0,27,15,1240,13.8,1,0,1,0,0,5,0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,Matches
139,135,Matt Doherty,ie IRL,DF,Tottenham,28.0,1992.0,17,13,1240,13.8,0,2,0,0,0,4,1,0.0,0.15,0.15,0.0,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09,Matches
140,136,Gabriel Dos Santos,br BRA,DF,Arsenal,22.0,1997.0,23,22,1996,22.2,2,0,2,0,0,4,1,0.09,0.0,0.09,0.09,0.09,1.0,1.0,0.1,1.1,0.05,0.0,0.05,0.05,0.05,Matches
141,137,Abdoulaye Doucouré,fr FRA,MF,Everton,27.0,1993.0,29,29,2443,27.1,2,3,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,Matches
142,138,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31.0,1989.0,13,13,1170,13.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
143,139,Paul Dummett,wls WAL,DF,Newcastle Utd,28.0,1991.0,15,14,1255,13.9,1,0,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,Matches
