id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1
36,0,0,0,,,0,108156,,,0,0,0,0,0.0,286,119,,,0,2,1.1,0.0,0,Bjorn,0.0,0,0,0.0,303,120,False,0.0,296,120,0,,,45,0,0,,0,,108156.jpg,0.0,0,0,Engels,0.2,False,,a,2,7,0.0,233,102,0,292,292,886,886,0.0,0.0,Engels,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
37,0,0,0,,,0,114283,2.0,,0,0,0,0,0.0,513,203,7.0,,0,3,1.9,0.0,0,Jack,0.0,0,0,0.0,513,203,False,0.0,513,203,0,,,70,0,0,3.0,0,,114283.jpg,0.0,0,0,Grealish,10.6,False,,a,2,7,0.0,510,201,0,42315,42315,47394,47394,0.0,0.0,Grealish,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
38,0,0,0,,,0,122806,3.0,,0,0,0,0,0.0,452,173,6.0,,0,3,1.3,0.0,0,John,0.0,0,0,0.0,453,173,False,0.0,449,172,0,,,55,0,0,,0,,122806.jpg,0.0,0,0,McGinn,0.5,False,,a,2,7,0.0,434,158,0,1890,1890,2546,2546,0.0,0.0,McGinn,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
39,0,0,0,,,0,123354,,,0,0,0,0,0.0,290,122,,,0,2,1.1,0.0,0,Kortney,0.0,0,0,0.0,307,123,False,0.0,300,123,0,,,45,0,0,,0,,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,237,105,0,144,144,434,434,0.0,0.0,Hause,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
40,0,0,0,,,0,148508,6.0,,0,0,0,0,0.0,455,175,3.0,,0,3,1.3,0.0,0,Mahmoud Ahmed,0.0,0,0,0.0,456,175,False,0.0,452,174,0,,,55,0,0,,0,,148508.jpg,0.0,0,0,Ibrahim Hassan,1.4,False,,a,2,7,0.0,437,160,0,7598,7598,7779,7779,0.0,0.0,Trézéguet,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
41,0,0,0,,,0,149484,,,0,0,0,0,0.0,387,163,,,0,2,1.6,0.0,0,Tyrone,0.0,0,0,0.0,394,163,False,0.0,388,163,0,,,50,0,0,,0,,149484.jpg,0.0,0,0,Mings,1.5,False,,a,2,7,0.0,357,159,0,2967,2967,6101,6101,0.0,0.0,Mings,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
42,0,0,0,,,0,169359,4.0,,0,0,0,0,0.0,301,129,5.0,,0,2,1.1,0.0,0,Matt,0.0,0,0,0.0,316,130,False,0.0,309,130,0,,,45,0,0,,0,,169359.jpg,0.0,0,0,Targett,0.9,False,,a,2,7,0.0,250,113,0,2647,2647,4714,4714,0.0,0.0,Targett,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0.0,0.0,0,184386,,,0,0,0,0,0.0,308,134,,,0,2,0.0,0.0,0,James,0.0,0,0,0.0,323,135,False,0.0,316,135,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,,0,,184386.jpg,0.0,0,0,Bree,0.0,False,,u,2,7,0.0,258,119,0,37,37,179,179,0.0,0.0,Bree,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
44,0,0,0,,,0,184704,,,0,0,0,0,0.0,309,113,,,0,3,0.5,0.0,0,Marvelous,0.0,0,0,0.0,324,114,False,0.0,317,111,0,,,45,0,0,,0,,184704.jpg,0.0,0,0,Nakamba,0.6,False,,a,2,7,0.0,259,77,0,1568,1568,3521,3521,0.0,0.0,Nakamba,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
45,0,0,0,,,0,193488,5.0,,0,0,0,0,0.0,496,193,2.0,,0,3,1.6,0.0,0,Anwar,0.0,0,0,0.0,497,193,False,0.0,494,192,0,,,60,0,0,2.0,0,,193488.jpg,0.0,0,0,El Ghazi,0.2,False,,a,2,7,0.0,490,187,0,666,666,1178,1178,0.0,0.0,El Ghazi,0,Aston Villa,,,,,,,,,,,,,,,,,,,,
